userid,test_type,assignment_count,ac_count,average_submissions_per_problem,total_submissions,average_codesize,average_codelines,average_completion_time,open_to_close_ratio,open_to_discount_ratio,timenorm_lastsubmit,ranknorm_lastsubmit,timenorm_firstsubmit,ranknorm_firstsubmit,normalized_codelines,ranknorm_codelines,normalized_codesize,ranknorm_codesize,normalized_ratio,ranknorm_ratio,error_count,score
83257,1,79,75,4.632911392,366,2045.756831,72.89617486,22430.88608,13.39755145,9.858707731,-4.040561394,-7.75048485,-5.028819624,-7.75048485,-21.5124228,-0.548888661,-23.90165407,-0.548888661,-27.14113072,-0.548888661,89.1285521,86
83258,1,76,72,3.302631579,251,738.1553785,37.54183267,14570.96053,15.79704112,18.20591215,-2.59986856,-0.243542847,-2.412094649,-0.243542847,-21.9940077,-0.263983886,-24.07283141,-0.263983886,-27.12413945,-0.263983886,52.69568134,75
83259,1,76,75,2.802631579,213,704.3661972,33.98591549,79807.72368,17.88344236,14.55265081,0.995954189,3.989613325,0.524436612,3.989613325,-20.69533083,1.387567511,-23.48506798,1.387567511,-26.43431634,1.387567511,46.70700025,75
83262,1,75,67,3,225,605.5866667,28.4,42136.94667,20.82182775,24.38878546,0.834650229,11.18794524,1.135679126,11.18794524,-21.31749054,-0.582525635,-23.99852705,-0.582525635,-26.99063887,-0.582525635,54.40487528,89
83267,1,77,76,1.935064935,149,701.0671141,33.17449664,3330.909091,-10.01949344,-9.847249626,-0.192262798,12.5376378,0.037999914,12.5376378,-22.31586952,0.11172057,-24.07582508,0.11172057,-27.37106982,0.11172057,23.68536925,60
83269,1,79,79,2.050632911,162,972.117284,42.80246914,16932.32911,8.672216475,3.912711617,-2.225176311,-16.57514898,-1.639975744,-16.57514898,-19.98039506,-2.146853223,-22.58445164,-2.146853223,-27.14724097,-2.146853223,27.1844433,83
83274,1,99,99,2.616161616,259,502.3243243,30.23552124,68031.10101,20.69766293,714.7748792,-10.33774738,13.97314107,-9.635661321,13.97314107,-29.1946967,-0.33524857,-32.99429432,-0.33524857,-38.16676781,-0.33524857,55.77182478,87
83276,1,74,67,2,148,600.9527027,33.01351351,3493.378378,20.95026194,23.72508775,2.681478073,10.508089,2.788453693,10.508089,-20.74534293,1.139409706,-22.82443742,1.139409706,-25.85753803,1.139409706,24.78738713,65
83278,1,96,95,1.510416667,145,582.1310345,32.52413793,148.3645833,23.82272959,222.8429365,-12.02289029,22.71160074,-10.9000161,22.71160074,-28.89609177,-2.392170113,-31.61192538,-2.392170113,-37.00155428,-2.392170113,20.45935338,61
83283,1,76,74,4.342105263,330,595.5393939,29.73636364,14893.14474,19.31422341,23.37793743,5.540961801,6.712418678,5.743844141,6.712418678,-21.07321447,2.418946257,-23.95633742,2.418946257,-27.46639109,2.418946257,87.43826457,72
83287,1,75,68,2.08,156,807.5576923,36.40384615,34207.85333,21.78397133,26.24076266,0.310405921,11.91053598,0.836863445,11.91053598,-20.69113745,-0.066529741,-23.08060815,-0.066529741,-26.61433846,-0.066529741,28.17365799,71
